;pid;max.revlevel;dead.count;deads
10023;13939;5;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10147;13939;5;9;11389|12053|15700|41745|155830|322065|307140|325178|360279
10564;13939;5;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10671;13939;5;9;11389|12053|15700|41745|155830|322065|307140|325178|360279
10909;13939;5;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
11651;13939;5;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11678;13939;4;5;12053|12547|15700|41745|322065
11847;13939;5;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12485;13939;5;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12584;13939;5;8;12053|15700|41745|155830|322065|307140|325178|360279
12862;13939;5;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
14119;13939;4;8;12547|15700|41745|155830|322065|307140|325178|360279
314;14564;6;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
366;14564;6;17;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|15700|41745|155830|322065|307140|325178|360279
778;14564;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
967;14564;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1038;14564;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1551;14564;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1846;14564;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2286;14564;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2384;14564;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2782;14564;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3568;14564;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3688;14564;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3923;14564;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
